Ventas online,grpsTV,Radio,Prensa,grpsTVComp,SEM,Mkdirecto,mailing1,mailing2,mailing3,mailing4
"2,034",131,"37,000",0,"1,128","12,177","13,878",0,0,0,0
"2,277",112,"56,702",0,"1,179","12,741","5,551",0,0,0,0
"1,471",99,"11,340",0,"1,090","9,941","2,220",0,0,0,0
"1,318",40,"2,268",0,936,"9,667",888,0,0,0,0
"1,551",16,0,0,"1,064","16,910",355,0,0,0,0
"2,238",6,0,0,"2,356","20,904","25,142",0,0,0,0
"2,150",3,0,0,"2,766","19,976","10,057",0,0,0,0
"2,673",126,0,0,"2,652","24,995","4,023",0,0,0,0
"3,002",196,0,0,"2,602","22,149","26,224",0,0,0,0
"2,543",125,0,0,"2,561","23,338","10,490",0,0,0,0
"2,041",50,0,0,"2,803","21,057","4,196",0,0,0,0
"1,985",20,0,0,"2,655","21,635","1,678",0,0,0,0
"2,594",87,"9,616",348,"3,363","20,704","25,032",0,0,0,0
"3,887",272,"37,176",418,"3,892","20,947","10,013",0,0,0,"170,000"
"2,926",272,"36,505",432,"3,399","18,384","4,005",0,0,0,"68,000"
"2,806",232,"39,590",434,"3,517","18,370","1,602",0,0,0,"27,200"
"1,423",177,"17,576",435,"2,123","9,596",641,0,0,0,"10,880"
"2,136",71,"3,515",957,"1,948","21,032","25,256",0,0,0,"4,352"
"2,153",28,0,"1,061","2,069","16,667","10,103",0,0,0,"1,741"
"1,736",11,0,"1,082","2,026","15,024","4,041",0,0,0,696
"1,598",5,0,"1,086","2,006","13,742","1,616",0,0,0,279
"1,454",2,0,0,"2,077","14,746","25,360",0,0,0,111
"2,482",189,0,0,"2,077","15,892","10,144",0,0,0,0
"1,489",76,0,0,"1,900","14,434","4,058",0,0,0,0
"2,325",179,0,0,"2,036","19,208","1,623",0,0,0,0
"2,257",231,0,0,"1,187","11,602","25,690",0,0,0,0
"2,731",314,0,0,"2,069","18,859","10,276",0,0,0,0
"2,193",318,0,0,"2,216","17,007","4,110",0,0,0,0
"2,187",370,0,0,"1,854","15,851","1,644",0,0,0,0
"1,568",173,0,0,"2,097","10,696",658,0,0,0,0
"1,649",69,0,0,"2,295","25,323","24,933",0,0,0,0
"1,935",199,0,0,"2,408","19,664","9,973",0,0,0,0
"1,753",202,0,0,"2,386","21,404","3,989",0,0,0,0
"1,884",232,0,0,"2,142","22,169","1,596",0,0,0,0
"1,254",93,0,0,"1,749","19,505","25,240",0,0,0,0
"1,062",37,0,0,"1,452","18,894","10,096",0,0,0,0
"1,270",121,0,0,"1,356","16,822","4,038",0,0,0,0
"1,413",157,0,0,"1,045","26,514","1,615",0,0,0,0
"1,403",141,0,"1,791",966,"10,957","25,131",0,0,0,0
"1,764",56,"42,723","2,149","1,003","17,770","10,052",0,0,0,0
"1,892",103,"46,836","2,221",918,"18,027","4,021",0,0,0,0
"2,095",156,"9,367","2,235","1,016","18,073","1,608",0,0,0,0
"1,878",152,"1,873","2,238","1,114","14,137",643,0,0,0,0
"2,076",198,0,0,"1,251","24,217","25,257",0,0,0,0
"1,673",128,0,0,"1,210","17,507","10,103",0,0,0,0
"2,164",234,0,0,"1,220","19,400","4,041",0,0,0,0
"2,655",345,"65,082",0,"1,335","21,382","1,616",0,0,0,0
"1,728",179,"64,148",326,"1,238","18,273","25,647",0,0,0,0
"2,316",213,"12,830",390,"1,341","20,941","10,259",0,0,0,0
"2,389",219,"11,742",403,"1,310","19,784","4,103",0,0,0,0
"2,321",215,"8,050",406,"1,239","29,093","1,641",0,0,0,0
"2,272",261,"1,610",0,"1,029","11,320","25,657",0,0,0,0
"1,228",130,0,0,688,"15,702","10,263",0,0,0,0
"1,871",153,0,0,601,"18,489","4,105",0,0,0,0
"1,198",61,0,0,312,"14,573","1,642",0,0,0,0
"1,261",24,0,0,374,"10,855",657,0,0,0,0
"1,349",10,0,0,461,"20,304",263,0,0,0,0
"2,457",135,0,0,968,"24,599",105,0,0,0,0
"2,288",186,0,0,"1,291","23,770",0,0,0,0,0
"2,185",197,0,0,"1,588","30,721",0,0,0,0,0
"2,124",223,0,0,"2,327","17,797",0,0,0,0,0
"2,330",225,0,0,"2,849","24,941",0,0,0,0,0
"2,126",212,0,0,"2,865","25,627",0,0,0,0,0
"2,496",210,0,0,"2,765","31,728",0,0,0,0,0
"2,285",217,"32,500",0,"2,224","19,687",0,0,0,0,0
"1,701",87,"39,000",0,"2,827","26,925",0,0,0,0,0
"2,487",213,"40,300",0,"2,713","23,714",0,0,0,0,0
"2,566",251,"40,560",0,"2,994","22,498",0,0,0,0,0
